unit_id,est_valuation_to_buyer,est_valuation_to_seller,est_renovation_cost,living_room_solar_direction,living_room_view_score,bedroom_view_score
274752,1910000.0,1253142.0,237552.0,NorthWest,"5 - Grande respiro, com verde ou copa de árvores",3 - Híbrida entre 2 e 4
274753,1770000.0,1183146.0,237552.0,South,"5 - Grande respiro, com verde ou copa de árvores","4 - Com respiro, porém com vista predominantemente urbana"
274763,0.0,0.0,237552.0,South,"4 - Com respiro, porém com vista predominantemente urbana","5 - Grande respiro, com verde ou copa de árvores"
274772,0.0,0.0,0.0,"","",""
274773,0.0,0.0,236880.0,SouthEast,"4 - Com respiro, porém com vista predominantemente urbana","5 - Grande respiro, com verde ou copa de árvores"
274780,0.0,0.0,0.0,"","",""
274787,0.0,0.0,0.0,SouthWest,"5 - Grande respiro, com verde ou copa de árvores","4 - Com respiro, porém com vista predominantemente urbana"
274788,2015000.0,1364442.0,252715.0,SouthWest,"5 - Grande respiro, com verde ou copa de árvores","4 - Com respiro, porém com vista predominantemente urbana"
274792,0.0,0.0,252650.0,SouthWest,"4 - Com respiro, porém com vista predominantemente urbana",3 - Híbrida entre 2 e 4
274806,2345000.0,1336255.0,252715.0,SouthEast,"4 - Com respiro, porém com vista predominantemente urbana",3 - Híbrida entre 2 e 4
274827,2810000.0,1819680.0,372785.0,SouthWest,"6 - Vista alta e distante, predominantemente urbana","6 - Vista alta e distante, predominantemente urbana"
274831,2750000.0,1752626.0,372785.0,"","",""
274862,1226000.0,743854.0,153363.0,NorthWest,"4 - Com respiro, porém com vista predominantemente urbana","4 - Com respiro, porém com vista predominantemente urbana"
274875,0.0,0.0,129750.0,SouthEast,"4 - Com respiro, porém com vista predominantemente urbana","4 - Com respiro, porém com vista predominantemente urbana"
274929,1628000.0,990661.0,195144.0,NorthEast,"4 - Com respiro, porém com vista predominantemente urbana","4 - Com respiro, porém com vista predominantemente urbana"
275001,0.0,0.0,0.0,"","",""
275010,590000.0,428504.0,54300.0,South,3 - Híbrida entre 2 e 4,"4 - Com respiro, porém com vista predominantemente urbana"
275065,0.0,0.0,0.0,"","",""
275072,2860000.0,1967653.0,294329.0,SouthWest,"5 - Grande respiro, com verde ou copa de árvores","4 - Com respiro, porém com vista predominantemente urbana"
275083,2875000.0,1979141.0,294329.0,SouthWest,"5 - Grande respiro, com verde ou copa de árvores","4 - Com respiro, porém com vista predominantemente urbana"
275092,0.0,0.0,0.0,West,"2 - Emparedada para área social, apenas parede ou serviço se for bem conservado e limpo visualmente","2 - Emparedada para área social, apenas parede ou serviço se for bem conservado e limpo visualmente"
275111,795000.0,536259.0,105000.0,East,"6 - Vista alta e distante, predominantemente urbana","6 - Vista alta e distante, predominantemente urbana"
275113,0.0,0.0,0.0,West,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
275145,840000.0,573680.0,105000.0,West,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
275149,0.0,0.0,0.0,"","",""
275150,1780000.0,1174384.0,257600.0,North,"6 - Vista alta e distante, predominantemente urbana","5 - Grande respiro, com verde ou copa de árvores"
275159,2700000.0,1753593.0,349645.0,NorthWest,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
275297,0.0,0.0,155750.0,West,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
275325,0.0,0.0,294150.0,West,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
275334,0.0,0.0,0.0,"","",""
275356,1025000.0,629083.0,186870.0,NorthEast,"6 - Vista alta e distante, predominantemente urbana","6 - Vista alta e distante, predominantemente urbana"
275421,0.0,0.0,0.0,SouthWest,"5 - Grande respiro, com verde ou copa de árvores","4 - Com respiro, porém com vista predominantemente urbana"
275425,0.0,0.0,0.0,SouthWest,"5 - Grande respiro, com verde ou copa de árvores","4 - Com respiro, porém com vista predominantemente urbana"
275427,0.0,0.0,0.0,"","",""
275429,1110000.0,719368.0,146927.0,SouthWest,"5 - Grande respiro, com verde ou copa de árvores","4 - Com respiro, porém com vista predominantemente urbana"
275440,0.0,0.0,0.0,SouthWest,"4 - Com respiro, porém com vista predominantemente urbana","4 - Com respiro, porém com vista predominantemente urbana"
275451,2375000.0,1384048.0,379781.0,NorthWest,"5 - Grande respiro, com verde ou copa de árvores","4 - Com respiro, porém com vista predominantemente urbana"
275458,0.0,0.0,286533.0,SouthEast,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
275464,2635000.0,1666211.0,322803.0,East,7 - Vista para Z1 (com edifícios predominantemente mais baixos no entorno e ou com muito verde),7 - Vista para Z1 (com edifícios predominantemente mais baixos no entorno e ou com muito verde)
275499,1665000.0,1091937.0,241298.0,SouthEast,"4 - Com respiro, porém com vista predominantemente urbana","4 - Com respiro, porém com vista predominantemente urbana"
275501,1740000.0,1158746.0,241298.0,SouthEast,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
275507,0.0,0.0,0.0,"","",""
275512,0.0,0.0,0.0,"","",""
275522,1810000.0,1217236.0,238946.0,SouthEast,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
275524,0.0,0.0,0.0,SouthEast,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
275549,0.0,0.0,0.0,"","",""
275572,1160000.0,705753.0,216670.0,SouthWest,3 - Híbrida entre 2 e 4,"4 - Com respiro, porém com vista predominantemente urbana"
275576,0.0,0.0,0.0,"","",""
275577,2830000.0,1785764.0,406926.0,SouthEast,"6 - Vista alta e distante, predominantemente urbana","4 - Com respiro, porém com vista predominantemente urbana"
275578,2840000.0,1793529.0,406926.0,SouthWest,"5 - Grande respiro, com verde ou copa de árvores","4 - Com respiro, porém com vista predominantemente urbana"
